Date,Partner_Name,Partner_Type,Description,Source_URL
2023-06-01,Mayo Clinic,Accelerator,Participated in Mayo Clinic health-technology accelerator program,https://en.wikipedia.org/wiki/OpenEvidence
2025-02-19,NEJM,Content/Journal,Multi-year content agreement with NEJM Group. All published content and multimedia from 1990 forward from NEJM NEJM Evidence NEJM AI NEJM Catalyst and NEJM Journal Watch.,https://www.prnewswire.com/news-releases/openevidence-achieves-1-billion-valuation-in-sequoia-led-round-and-announces-content-partnership-with-the-new-england-journal-of-medicine-302380960.html
2025-06-05,JAMA Network,Content/Journal,Multi-year content agreement with JAMA Network. Covers JAMA JAMA Network Open and 11 specialty journals.,https://www.prnewswire.com/news-releases/openevidence-and-the-jama-network-sign-strategic-content-agreement-302473690.html
2025-11-05,NCCN,Content/Society,Licensing agreement to make NCCN Clinical Practice Guidelines in Oncology and JNCCN content accessible through OpenEvidence.,https://ascopost.com/news/november-2025/nccn-guidelines-to-be-integrated-into-openevidence-medical-ai-platform/
2025-12-11,ACEP,Content/Society,American College of Emergency Physicians partnership announced.,https://www.openevidence.com/announcements/acep
2026-03-03,Wiley,Content/Publisher,Wiley and OpenEvidence partner to deliver trusted research to physicians at point of care. Includes Cochrane content.,https://www.openevidence.com/announcements/wiley-and-openevidence-partner-to-deliver-trusted-research-to-physicians-at-the-point-of-care
2026-03-03,Cochrane,Content/Research,Cochrane Systematic Reviews content included as part of Wiley partnership.,https://www.openevidence.com/announcements/wiley-and-openevidence-partner-to-deliver-trusted-research-to-physicians-at-the-point-of-care
2026-03-12,NORD,Content/Society,Partnership to expand access to trusted expert-reviewed rare disease information for clinicians patients and families worldwide.,https://www.openevidence.com/announcements/national-organization-for-rare-disorders-and-openevidence-partner-to-bring-ai-powered-rare-disease-resources-to-clinicians-and-patients-worldwide
2026-03-16,AAO-HNS,Content/Society,First-of-its-kind partnership to keep clinical practice guidelines aligned with latest evidence.,https://www.openevidence.com/announcements/openevidence-and-aao-hnsf-pioneer-a-new-model-for-updating-clinical-practice-guidelines
2026-04-16,Wiley Neurology Expansion,Content/Publisher,Clinical findings from journals of four leading neurological societies added as part of Wiley partnership.,https://www.openevidence.com/announcements/openevidence-expands-neurology-coverage-with-four-neurological-societies-now-participating-in-the-wiley-openevidence-agreement
2026-04-27,NCCN Treatment Algorithms,Content/Society,NCCN Guidelines Treatment Algorithms integrated into OpenEvidence platform at point of care.,https://www.openevidence.com/announcements/openevidence-collaborates-with-nccn-to-integrate-canonical-oncology-treatment-algorithms-at-the-point-of-care
2026-05-04,ACOG,Content/Society,Strategic collaboration to expand access to ACOG evidence-based clinical guidance for ob-gyn care and womens health.,https://www.openevidence.com/announcements/openevidence-and-acog-announce-strategic-collaboration-to-advance-ob-gyn-health-care
2026-05-05,GINA,Content/Society,Collaboration to make GINA evidence-based asthma strategy reports and clinical recommendations available through OpenEvidence.,https://www.openevidence.com/announcements/the-global-initiative-for-asthma-and-openevidence-partner-to-deliver-asthma-strategy-to-physicians-worldwide
2026-05-11,SSO,Content/Society,Strategic partnership to strengthen access to trusted surgical oncology evidence. Includes launch of SSO Innovator Grant.,https://www.openevidence.com/announcements/openevidence-and-society-of-surgical-oncology-announce-strategic-partnership-to-advance-surgical-cancer-care-and-launch-sso-innovator-grant
2026-06-09,AAO,Content/Society,American Academy of Ophthalmology Preferred Practice Patterns and clinical guidelines integrated into OpenEvidence.,https://www.openevidence.com/announcements/openevidence-and-the-american-academy-of-ophthalmology-partner-to-close-the-gap-between-evidence-and-eye-care
2025-09-10,Amaro,Acquisition,GV-backed AI-native advertising startup. Founded by Kush and Sauren Khosla.,https://www.prnewswire.com/news-releases/openevidence-acquires-google-ventures-backed-ai-startup-amaro-302547047.html
2026-02-11,Sutter Health,Health System,Embedded OpenEvidence into Epic EHR workflows for physicians across California. First publicly announced health system deployment.,https://www.openevidence.com/announcements/sutter-health-collaborates-with-openevidence-to-bring-evidence-based-ai-powered-insights-into-physician-workflows
2026-03-31,Mount Sinai,Health System,Enterprise-wide deployment across seven hospitals integrated into Epic EHR. Access for physicians nurses and pharmacists.,https://www.openevidence.com/announcements/mount-sinai-health-system-collaborates-with-openevidence-to-provide-evidence-based-knowledge-within-electronic-medical-record
2026-05-01,Cedars-Sinai,Health System,Enterprise-wide deployment. Patient-profile-tailored queries from EHR.,https://sacra.com/c/openevidence/
2025-01-01,Veeva Systems,Commercial,Joint product Open Vista for clinical-trial matching and drug discovery.,https://sacra.com/c/openevidence/
2025-01-01,Baseten,Tech Infrastructure,AI inference platform. Custom fine-tuned LLMs. Billions of requests per week.,https://www.baseten.co/resources/customers/openevidence-delivers-instant-medical-information-with-baseten/
2025-01-01,Google Cloud,Tech Infrastructure,Backend Python running on Google Cloud Platform.,https://vercel.com/blog/how-openevidence-built-a-healthcare-ai-that-physicians-can-trust
2025-01-01,Nvidia,Investor + Compute,Investor in OpenEvidence providing GPU compute infrastructure.,https://sacra.com/c/openevidence/
2025-01-01,Vercel,Tech Infrastructure,Frontend hosting platform with Fluid Compute.,https://vercel.com/blog/how-openevidence-built-a-healthcare-ai-that-physicians-can-trust
2025-01-01,Tandem,Product Partnership,Prescription generation and prior-authorization submission.,https://sacra.com/c/openevidence/
2026-06-23,Pathway Labs,Tech Partnership,EchoNext AI ECG tool FDA clearance and integration with OpenEvidence for cardiology. First FDA-cleared AI tool on OpenEvidence.,https://www.businesswire.com/news/home/20260623150207/en/Pathway-Labs-Announces-Worlds-First-FDA-Clearance-for-Multicondition-AI-in-Cardiology-and-Partnership-with-OpenEvidence
2026-06-25,JOMI,Video Evidence Collaboration,OpenEvidence and Journal of Medical Insight partner to bring 357 peer-reviewed surgical videos to the platform. First video evidence collaboration.,https://www.openevidence.com/announcements/openevidence-and-journal-of-medical-insight-jomi-partner-to-bring-peer-reviewed-surgical-videos-to-clinicians
2026-06-23,Society for Neuro-Oncology (SNO),Official Generative AI Partner,3000+ members across 60 countries. OpenEvidence designated as SNOs official generative AI partner. Embedded across SNO digital properties for neuro-oncology clinicians.,https://www.openevidence.com/announcements/sno-and-openevidence-launch-official-generative-ai-partnership
